Team,Name,Number,Sets Played,Matches Played,Kills,Kills/Set,Errors,Total Attempts,Hitting Percentage,Assists,Assists/Set,Service Aces,Service Aces/Set,Digs,Digs/Set,Receptions,Reception Errors,Block Solo,Block Assist,Total Blocks,Blocks/Set,Points,Points/Set
Wentworth,Tyler Jack,1,109,31,49,0.45,20,114,.254,5,0.05,46,0.42,55,0.50,125,6,3,9,12,0.11,102.5,0.9
Wentworth,Tristan McDonough,2,61,24,54,0.89,13,96,.427,5,0.08,18,0.30,21,0.34,5,0,3,40,43,0.70,95.0,1.6
Wentworth,Brayden Green,4,78,28,29,0.37,5,61,.393,585,7.50,12,0.15,84,1.08,4,1,0,19,19,0.24,50.5,0.6
Wentworth,Hunter Oshman,5,102,30,292,2.86,87,668,.307,16,0.16,21,0.21,163,1.60,11,1,7,57,64,0.63,348.5,3.4
Wentworth,Nicolai Bell,6,82,26,110,1.34,22,187,.471,1,0.01,2,0.02,13,0.16,2,1,10,58,68,0.83,151.0,1.8
Wentworth,Alek Reymond,7,28,13,44,1.57,3,71,.577,2,0.07,6,0.21,12,0.43,3,1,7,25,32,1.14,69.5,2.5
Wentworth,Dylan Burritt,8,3,2,2,0.67,1,5,.200,0,0.00,0,0.00,5,1.67,0,0,0,2,2,0.67,3.0,1.0
Wentworth,Sam Etter,9,103,29,259,2.51,93,575,.289,9,0.09,20,0.19,122,1.18,464,24,8,26,34,0.33,300.0,2.9
Wentworth,Mason Andrade,10,118,35,36,0.31,12,78,.308,44,0.37,15,0.13,231,1.96,549,37,0,4,4,0.03,53.0,0.4
Wentworth,Alex McLane,11,77,27,26,0.34,29,96,-.031,13,0.17,7,0.09,74,0.96,230,8,0,4,4,0.05,35.0,0.5
Wentworth,Colin Stockton,12,40,15,33,0.82,9,56,.429,4,0.10,7,0.17,7,0.17,1,0,4,31,35,0.88,59.5,1.5
Wentworth,Josh Milke,13,71,24,11,0.15,3,43,.186,615,8.66,10,0.14,72,1.01,1,1,4,19,23,0.32,34.5,0.5
Wentworth,Antonio Marino,14,28,13,7,0.25,5,17,.118,5,0.18,3,0.11,19,0.68,59,5,0,0,0,0.00,10.0,0.4
Wentworth,Nick Cebula,15,16,7,26,1.63,4,42,.524,2,0.13,5,0.31,8,0.50,1,1,4,10,14,0.88,40.0,2.5
Wentworth,Anthony Krzykowski,17,29,14,7,0.24,7,25,.000,131,4.52,8,0.28,25,0.86,3,2,0,3,3,0.10,16.5,0.6
Wentworth,Gabe Tucker,18,34,14,28,0.82,13,62,.242,5,0.15,18,0.53,28,0.82,27,0,0,6,6,0.18,49.0,1.4
Wentworth,Matthew Zegowitz,19,49,16,49,1.00,12,95,.389,0,0.00,0,0.00,9,0.18,2,0,7,33,40,0.82,72.5,1.5
Wentworth,Jacob LaBouliere,20,72,21,347,4.82,68,613,.455,12,0.17,28,0.39,119,1.65,355,17,11,28,39,0.54,400.0,5.6
Wentworth,Jacob Waga,21,43,17,76,1.77,34,176,.239,1,0.02,16,0.37,33,0.77,21,3,2,17,19,0.44,102.5,2.4
Wentworth,Dave Arellanes,23,22,11,37,1.68,11,81,.321,1,0.05,7,0.32,14,0.64,0,0,1,8,9,0.41,49.0,2.2
